athlete_id,season,sport,event,position,medal,country,team
7.0,Summer,Table Tennis,"Singles, Men",49,,France,
15.0,Summer,Table Tennis,"Singles, Men",33,,France,
27.0,Summer,Table Tennis,"Singles, Men",49,,France,
132.0,Summer,Table Tennis,"Singles, Women",33,,Germany,
132.0,Summer,Table Tennis,"Team, Women",9,,Germany,Germany
179.0,Summer,Table Tennis,"Singles, Men",9,,Greece,
179.0,Summer,Table Tennis,"Team, Men",9,,Greece,Greece
185.0,Summer,Table Tennis,"Team, Men",9,,Greece,Greece
213.0,Summer,Table Tennis,"Singles, Women",17,,Hungary,
257.0,Summer,Badminton,"Doubles, Mixed",4,,Indonesia,Vita Marissa
279.0,Summer,Tennis,"Doubles, Men",5,,India,Leander Paes
287.0,Summer,Tennis,"Doubles, Men",5,,India,Mahesh Bhupathi
302.0,Summer,Archery,"Individual, Men",55,,Australia,
302.0,Summer,Archery,"Team, Men",9,,Australia,Australia
504.0,Summer,Archery,"Individual, Women",5,,United States,
564.0,Summer,Archery,"Individual, Women",17,,Great Britain,
564.0,Summer,Archery,"Team, Women",4,,Great Britain,Great Britain
595.0,Summer,Archery,"Individual, Men",49,,Great Britain,
595.0,Summer,Archery,"Team, Men",12,,Great Britain,Great Britain
617.0,Summer,Tennis,"Doubles, Women",9,,Australia,Samantha Stosur
657.0,Summer,Table Tennis,"Singles, Men",9,,Austria,
657.0,Summer,Table Tennis,"Team, Men",4,,Austria,Austria
661.0,Summer,Tennis,"Doubles, Men",17,,The Bahamas,Devin Mullings
682.0,Summer,Table Tennis,"Singles, Men",33,,Belgium,
693.0,Summer,Table Tennis,"Singles, Men",9,,Belarus,
710.0,Summer,Table Tennis,"Team, Men",9,,Brazil,Brazil
757.0,Summer,Tennis,"Doubles, Men",17,,Canada,Fred Niemeyer
783.0,Summer,Table Tennis,"Singles, Women",9,,United States,
783.0,Summer,Table Tennis,"Team, Women",5,,United States,United States
856.0,Summer,Tennis,"Singles, Women",33,,Japan,
856.0,Summer,Tennis,"Doubles, Women",9,,Japan,Ayumi Morita
927.0,Summer,Tennis,"Singles, Men",33,,Republic of Korea,
942.0,Summer,Table Tennis,"Singles, Women",33,,Lithuania,
1011.0,Summer,Table Tennis,"Singles, Women",64,,Nigeria,
1011.0,Summer,Table Tennis,"Team, Women",9,,Nigeria,Nigeria
1014.0,Summer,Table Tennis,"Team, Women",9,,Nigeria,Nigeria
1027.0,Summer,Table Tennis,"Singles, Men",17,,Nigeria,
1027.0,Summer,Table Tennis,"Team, Men",9,,Nigeria,Nigeria
1352.0,Summer,Softball,"Softball, Women",2,Silver,United States,United States
1381.0,Summer,Softball,"Softball, Women",3,Bronze,Australia,Australia
1427.0,Summer,Softball,"Softball, Women",3,Bronze,Australia,Australia
1454.0,Summer,Softball,"Softball, Women",3,Bronze,Australia,Australia
1500.0,Summer,Baseball,"Baseball, Men",2,Silver,Cuba,Cuba
1509.0,Summer,Baseball,"Baseball, Men",2,Silver,Cuba,Cuba
1919.0,Summer,Archery,"Individual, Men",25,,Italy,
1919.0,Summer,Archery,"Team, Men",2,Silver,Italy,Italy
1992.0,Summer,Archery,"Individual, Women",19,,Italy,
1992.0,Summer,Archery,"Team, Women",5,,Italy,Italy
2055.0,Summer,Archery,"Individual, Women",26,,Poland,
2055.0,Summer,Archery,"Team, Women",6,,Poland,Poland
2075.0,Summer,Archery,"Individual, Men",50,,Portugal,
2108.0,Summer,Archery,"Individual, Men",3,Bronze,Russian Federation,
2108.0,Summer,Archery,"Team, Men",8,,Russian Federation,Russian Federation
2110.0,Summer,Archery,"Individual, Men",10,,Russian Federation,
2110.0,Summer,Archery,"Team, Men",8,,Russian Federation,Russian Federation
2143.0,Summer,Archery,"Individual, Men",19,,Sweden,
2235.0,Summer,Archery,"Individual, Men",28,,United States,
2235.0,Summer,Archery,"Team, Men",9,,United States,United States
2338.0,Summer,Table Tennis,"Singles, Women",17,,Croatia,
2338.0,Summer,Table Tennis,"Team, Women",9,,Croatia,Croatia
2344.0,Summer,Table Tennis,"Singles, Men",5,,Croatia,
2344.0,Summer,Table Tennis,"Team, Men",7,,Croatia,Croatia
2354.0,Summer,Table Tennis,"Singles, Men",33,,Czech Republic,
2377.0,Summer,Badminton,"Doubles, Men",9,,Denmark,Martin Lundgaard Hansen
2405.0,Summer,Tennis,"Singles, Men",33,,Ecuador,
2414.0,Summer,Tennis,"Doubles, Women",2,Silver,Spain,Anabel Medina
2466.0,Summer,Table Tennis,"Singles, Men",17,,Poland,
2540.0,Summer,Table Tennis,"Team, Women",9,,Netherlands,Netherlands
2544.0,Summer,Table Tennis,"Team, Men",9,,Russian Federation,Russian Federation
2565.0,Summer,Tennis,"Singles, Women",17,,Switzerland,
2565.0,Summer,Tennis,"Doubles, Women",9,,Switzerland,Emmanuelle Gagliardi
2611.0,Summer,Tennis,"Singles, Men",33,,Sweden,
2611.0,Summer,Tennis,"Doubles, Men",17,,Sweden,Robin Söderling
2632.0,Summer,Table Tennis,"Singles, Men",4,,Sweden,
2632.0,Summer,Table Tennis,"Team, Men",9,,Sweden,Sweden
2671.0,Summer,Tennis,"Singles, Women",33,,Thailand,
2691.0,Summer,Table Tennis,"Singles, Men",33,,Chinese Taipei,
2691.0,Summer,Table Tennis,"Team, Men",7,,Chinese Taipei,Chinese Taipei
2699.0,Summer,Table Tennis,"Singles, Men",65,,Trinidad and Tobago,
2701.0,Summer,Tennis,"Singles, Women",33,,Tunisia,
2711.0,Summer,Badminton,"Singles, Men",33,,Ukraine,
2724.0,Summer,Tennis,"Singles, Women",,,United States,
2724.0,Summer,Tennis,"Doubles, Women",5,,United States,Liezel Huber
2805.0,Summer,Table Tennis,"Singles, Men",65,,United States,
2809.0,Summer,Table Tennis,"Singles, Women",49,,Venezuela,
2820.0,Summer,Table Tennis,"Singles, Men",33,,Serbia,
3127.0,Summer,Baseball,"Baseball, Men",1,Gold,Republic of Korea,Republic of Korea
3161.0,Summer,Baseball,"Baseball, Men",7,,Netherlands,Netherlands
5171.0,Summer,Athletics,"Triple Jump, Women",,,Spain,
5188.0,Summer,Basketball,"Basketball, Women",8,,Republic of Korea,Republic of Korea
5329.0,Summer,Basketball,"Basketball, Women",8,,Republic of Korea,Republic of Korea
5336.0,Summer,Basketball,"Basketball, Women",1,Gold,United States,United States
5423.0,Summer,Basketball,"Basketball, Women",8,,Republic of Korea,Republic of Korea
5497.0,Summer,Basketball,"Basketball, Women",3,Bronze,Russian Federation,Russian Federation
6510.0,Summer,Basketball,"Basketball, Men",8,,People's Republic of China,People's Republic of China
6758.0,Summer,Basketball,"Basketball, Men",3,Bronze,Argentina,Argentina
7337.0,Summer,Basketball,"Basketball, Men",8,,People's Republic of China,People's Republic of China
9033.0,Summer,Canoe Sprint,"Kayak Doubles, 500 metres, Men",,,Australia,Jacob Clear
9033.0,Summer,Canoe Sprint,"Kayak Fours, 1,000 metres, Men",,,Australia,Australia
9082.0,Summer,Canoe Slalom,"Kayak Singles, Slalom, Men",7,,Austria,
9269.0,Summer,Canoe Slalom,"Kayak Singles, Slalom, Men",6,,Canada,
9353.0,Summer,Canoe Sprint,"Kayak Singles, 500 metres, Men",,,Côte d'Ivoire,
9353.0,Summer,Canoe Sprint,"Kayak Singles, 1,000 metres, Men",,,Côte d'Ivoire,
9386.0,Summer,Canoe Slalom,"Kayak Singles, Slalom, Women",9,,Czech Republic,
9468.0,Summer,Canoe Sprint,"Kayak Doubles, 500 metres, Women",,,Spain,Sonia Molanes
9468.0,Summer,Canoe Sprint,"Kayak Fours, 500 metres, Women",5,,Spain,Spain
9901.0,Summer,Canoe Sprint,"Canadian Singles, 500 metres, Men",,,Germany,
9901.0,Summer,Canoe Sprint,"Canadian Singles, 1,000 metres, Men",8,,Germany,
10072.0,Summer,Canoe Sprint,"Kayak Doubles, 500 metres, Men",4,,Hungary,Gábor Kucsera
10072.0,Summer,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",4,,Hungary,Gábor Kucsera
10144.0,Summer,Canoe Slalom,"Kayak Singles, Slalom, Women",10,,Italy,
10146.0,Summer,Canoe Sprint,"Kayak Singles, 500 metres, Women",2,Silver,Italy,
10201.0,Summer,Canoe Sprint,"Kayak Fours, 1,000 metres, Men",4,,Italy,Italy
10257.0,Summer,Canoe Sprint,"Canadian Doubles, 500 metres, Men",,,Kazakhstan,Aleksandr Dyadchuk
10261.0,Summer,Canoe Sprint,"Kayak Singles, 500 metres, Men",,,Kazakhstan,
10261.0,Summer,Canoe Sprint,"Kayak Singles, 1,000 metres, Men",,,Kazakhstan,
10459.0,Summer,Canoe Sprint,"Kayak Doubles, 500 metres, Women",2,Silver,Poland,Beata Mikołajczyk
10459.0,Summer,Canoe Sprint,"Kayak Fours, 500 metres, Women",4,,Poland,Poland
10465.0,Summer,Canoe Sprint,"Canadian Singles, 500 metres, Men",8,,Poland,
10465.0,Summer,Canoe Sprint,"Canadian Doubles, 1,000 metres, Men",7,,Poland,Wojciech Tyszyński
10468.0,Summer,Canoe Slalom,"Canadian Singles, Slalom, Men",8,,Poland,
10537.0,Summer,Canoe Sprint,"Kayak Doubles, 500 metres, Men",8,,Poland,Marek Twardowski
10537.0,Summer,Canoe Sprint,"Kayak Fours, 1,000 metres, Men",6,,Poland,Poland
10714.0,Summer,Canoe Slalom,"Kayak Singles, Slalom, Women",1,Gold,Slovakia,
10719.0,Summer,Canoe Slalom,"Canadian Singles, Slalom, Men",1,Gold,Slovakia,
10796.0,Summer,Canoe Sprint,"Kayak Singles, 1,000 metres, Men",6,,Sweden,
10796.0,Summer,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",,,Sweden,Anders Gustafsson
10976.0,Summer,Canoe Sprint,"Canadian Doubles, 500 metres, Men",2,Silver,Russian Federation,Sergey Ulegin
10976.0,Summer,Canoe Sprint,"Canadian Doubles, 1,000 metres, Men",8,,Russian Federation,Sergey Ulegin
11254.0,Summer,Equestrian Eventing,"Individual, Open",13,,Sweden,Stand By Me
11254.0,Summer,Equestrian Eventing,"Team, Open",4,,Sweden,Stand By Me / Sweden
11288.0,Summer,Equestrian Dressage,"Individual, Open",30,,Great Britain,Lucky Star
11288.0,Summer,Equestrian Dressage,"Team, Open",5,,Great Britain,Lucky Star / Great Britain
11313.0,Summer,Equestrian Eventing,"Individual, Open",9,,Belgium,Gazelle De La Brasserie
11380.0,Summer,Equestrian Dressage,"Individual, Open",21,,Denmark,Clearwater
11380.0,Summer,Equestrian Dressage,"Team, Open",3,Bronze,Denmark,Clearwater / Denmark
11384.0,Summer,Equestrian Dressage,"Individual, Open",8,,Finland,Max
11390.0,Summer,Equestrian Eventing,"Individual, Open",44,,United States,Mandiba
11390.0,Summer,Equestrian Eventing,"Team, Open",7,,United States,Mandiba / United States
11420.0,Summer,Equestrian Dressage,"Individual, Open",13,,Canada,Pop Art
11420.0,Summer,Equestrian Dressage,"Team, Open",8,,Canada,Pop Art / Canada
11481.0,Summer,Equestrian Eventing,"Individual, Open",11,,Great Britain,Call Again Cavalier
