athlete_id,season,sport,event,position,medal,country,team
287.0,Summer,Tennis,"Doubles, Men",17,,India,Rohan Bopanna
693.0,Summer,Table Tennis,"Singles, Men",4,,Belarus,
757.0,Summer,Tennis,"Doubles, Men",4,,Canada,Vasek Pospisil
1014.0,Summer,Table Tennis,"Singles, Women",49,,Nigeria,
1027.0,Summer,Table Tennis,"Singles, Men",33,,Nigeria,
1027.0,Summer,Table Tennis,"Team, Men",9,,Nigeria,Nigeria
2563.0,Summer,Tennis,"Doubles, Women",2,Silver,Switzerland,Timea Bacsinszky
2820.0,Summer,Table Tennis,"Singles, Men",49,,Serbia,
9212.0,Summer,Canoe Sprint,"Canadian Singles, 1,000 metres, Men",14,,Australia,
9212.0,Summer,Canoe Sprint,"Canadian Doubles, 1,000 metres, Men",10,,Australia,Ferenc Szekszárdi
11254.0,Summer,Equestrian Eventing,"Individual, Open",45,,Sweden,Fairnet
11254.0,Summer,Equestrian Eventing,"Team, Open",11,,Sweden,Fairnet / Sweden
11260.0,Summer,Equestrian Jumping,"Individual, Open",60,,Sweden,Cue Channa
11260.0,Summer,Equestrian Jumping,"Team, Open",7,,Sweden,Cue Channa / Sweden
11313.0,Summer,Equestrian Eventing,"Individual, Open",,,Belgium,Fletcha van 't Verahof
11324.0,Summer,Equestrian Dressage,"Individual, Open",10,,Spain,Delgado
11324.0,Summer,Equestrian Dressage,"Team, Open",7,,Spain,Delgado / Spain
11348.0,Summer,Equestrian Dressage,"Individual, Open",39,,Australia,Boogie Woogie 6
11348.0,Summer,Equestrian Dressage,"Team, Open",9,,Australia,Boogie Woogie 6 / Australia
11503.0,Summer,Equestrian Dressage,"Individual, Open",2,Silver,Germany,Weihegold Old
11503.0,Summer,Equestrian Dressage,"Team, Open",1,Gold,Germany,Weihegold Old / Germany
11507.0,Summer,Equestrian Dressage,"Individual, Open",8,,Sweden,Don Auriello
11507.0,Summer,Equestrian Dressage,"Team, Open",5,,Sweden,Don Auriello / Sweden
11606.0,Summer,Equestrian Jumping,"Individual, Open",36,,Germany,Casello
11606.0,Summer,Equestrian Jumping,"Team, Open",3,Bronze,Germany,Casello / Germany
11609.0,Summer,Equestrian Jumping,"Individual, Open",64,,Sweden,Unita
11609.0,Summer,Equestrian Jumping,"Team, Open",7,,Sweden,Unita / Sweden
11654.0,Summer,Equestrian Jumping,"Individual, Open",16,,France,Sydney une Prince
11654.0,Summer,Equestrian Jumping,"Team, Open",1,Gold,France,Sydney une Prince / France
11906.0,Summer,Equestrian Eventing,"Individual, Open",3,Bronze,United States,Mighty Nice
11906.0,Summer,Equestrian Eventing,"Team, Open",12,,United States,Mighty Nice / United States
11977.0,Summer,Equestrian Eventing,"Individual, Open",12,,Great Britain,Chilli Morning
