athlete_id,season,sport,event,position,medal,country,team
179.0,Summer,Table Tennis,"Singles, Men",17.0,,Greece,
213.0,Summer,Table Tennis,"Singles, Women",33.0,,Hungary,
279.0,Summer,Tennis,"Doubles, Men",9.0,,India,Rohan Bopanna
287.0,Summer,Tennis,"Doubles, Mixed",5.0,,India,Sania Mirza
287.0,Summer,Tennis,"Doubles, Men",9.0,,India,Jagadeesan Vishnuvardhan
504.0,Summer,Archery,"Individual, Women",4.0,,United States,
504.0,Summer,Archery,"Team, Women",6.0,,United States,United States
564.0,Summer,Archery,"Individual, Women",33.0,,Great Britain,
564.0,Summer,Archery,"Team, Women",9.0,,Great Britain,Great Britain
595.0,Summer,Archery,"Individual, Men",17.0,,Great Britain,
595.0,Summer,Archery,"Team, Men",9.0,,Great Britain,Great Britain
657.0,Summer,Table Tennis,"Singles, Men",17.0,,Austria,
657.0,Summer,Table Tennis,"Team, Men",5.0,,Austria,Austria
682.0,Summer,Table Tennis,"Singles, Men",33.0,,Belgium,
693.0,Summer,Table Tennis,"Singles, Men",9.0,,Belarus,
710.0,Summer,Table Tennis,"Singles, Men",49.0,,Brazil,
710.0,Summer,Table Tennis,"Team, Men",9.0,,Brazil,Brazil
757.0,Summer,Tennis,"Doubles, Men",9.0,,Canada,Vasek Pospisil
768.0,Summer,Table Tennis,"Singles, Women",49.0,,Chile,
1014.0,Summer,Table Tennis,"Singles, Women",49.0,,Nigeria,
1027.0,Summer,Table Tennis,"Singles, Men",49.0,,Nigeria,
1921.0,Summer,Archery,"Individual, Men",33.0,,Italy,
1921.0,Summer,Archery,"Team, Men",1.0,Gold,Italy,Italy
1992.0,Summer,Archery,"Individual, Women",17.0,,Italy,
1992.0,Summer,Archery,"Team, Women",9.0,,Italy,Italy
2344.0,Summer,Table Tennis,"Singles, Men",33.0,,Croatia,
2540.0,Summer,Table Tennis,"Team, Women",5.0,,Netherlands,Netherlands
2632.0,Summer,Table Tennis,"Singles, Men",33.0,,Sweden,
2632.0,Summer,Table Tennis,"Team, Men",9.0,,Sweden,Sweden
2809.0,Summer,Table Tennis,"Singles, Women",49.0,,Venezuela,
2820.0,Summer,Table Tennis,"Singles, Men",33.0,,Serbia,
7337.0,Summer,Basketball,"Basketball, Men",12.0,,People's Republic of China,People's Republic of China
9082.0,Summer,Canoe Slalom,"Kayak Singles, Slalom, Men",8.0,,Austria,
9386.0,Summer,Canoe Slalom,"Kayak Singles, Slalom, Women",4.0,,Czech Republic,
10072.0,Summer,Canoe Sprint,"Kayak Fours, 1,000 metres, Men",2.0,Silver,Hungary,Hungary
10146.0,Summer,Canoe Sprint,"Kayak Singles, 500 metres, Women",5.0,,Italy,
10459.0,Summer,Canoe Sprint,"Kayak Singles, 500 metres, Women",10.0,,Poland,
10459.0,Summer,Canoe Sprint,"Kayak Fours, 500 metres, Women",4.0,,Poland,Poland
10719.0,Summer,Canoe Slalom,"Canadian Singles, Slalom, Men",3.0,Bronze,Slovakia,
10789.0,Summer,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",5.0,,Sweden,Markus Oscarsson
10796.0,Summer,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",5.0,,Sweden,Henrik Nilsson
11254.0,Summer,Equestrian Eventing,"Individual, Open",36.0,,Sweden,La Fair
11254.0,Summer,Equestrian Eventing,"Team, Open",4.0,,Sweden,La Fair / Sweden
11313.0,Summer,Equestrian Eventing,"Individual, Open",15.0,,Belgium,Gazelle De La Brasserie
11313.0,Summer,Equestrian Eventing,"Team, Open",10.0,,Belgium,Gazelle De La Brasserie / Belgium
11348.0,Summer,Equestrian Dressage,"Individual, Open",44.0,,Australia,Sancette
11348.0,Summer,Equestrian Dressage,"Team, Open",9.0,,Australia,Sancette / Australia
11380.0,Summer,Equestrian Dressage,"Individual, Open",21.0,,Denmark,Clearwater
11380.0,Summer,Equestrian Dressage,"Team, Open",4.0,,Denmark,Clearwater / Denmark
11390.0,Summer,Equestrian Eventing,"Individual, Open",9.0,,United States,Mr. Medicott
11390.0,Summer,Equestrian Eventing,"Team, Open",7.0,,United States,Mr. Medicott / United States
11406.0,Summer,Equestrian Dressage,"Individual, Open",35.0,,Ireland,Coryolano
11420.0,Summer,Equestrian Dressage,"Individual, Open",24.0,,Canada,Breaking Dawn
11420.0,Summer,Equestrian Dressage,"Team, Open",nan,,Canada,Breaking Dawn / Canada
11481.0,Summer,Equestrian Eventing,"Individual, Open",5.0,,Great Britain,Imperial Cavalier
11481.0,Summer,Equestrian Eventing,"Team, Open",2.0,Silver,Great Britain,Imperial Cavalier / Great Britain
11490.0,Summer,Equestrian Dressage,"Individual, Open",6.0,,Netherlands,Salinero
11490.0,Summer,Equestrian Dressage,"Team, Open",3.0,Bronze,Netherlands,Salinero / Netherlands
11507.0,Summer,Equestrian Dressage,"Individual, Open",11.0,,Sweden,Don Auriello
11507.0,Summer,Equestrian Dressage,"Team, Open",5.0,,Sweden,Don Auriello / Sweden
11522.0,Summer,Equestrian Jumping,"Individual, Open",29.0,,Kingdom of Saudi Arabia,Bayard van de Villa Theresia
11522.0,Summer,Equestrian Jumping,"Team, Open",3.0,Bronze,Kingdom of Saudi Arabia,Bayard van de Villa Theresia / Kingdom of Saudi Arabia
11573.0,Summer,Equestrian Jumping,"Individual, Open",66.0,,Mexico,Gangster
11573.0,Summer,Equestrian Jumping,"Team, Open",9.0,,Mexico,Gangster / Mexico
11581.0,Summer,Equestrian Jumping,"Individual, Open",4.0,,Kingdom of Saudi Arabia,Noblesse Des Tess
11581.0,Summer,Equestrian Jumping,"Team, Open",3.0,Bronze,Kingdom of Saudi Arabia,Noblesse Des Tess / Kingdom of Saudi Arabia
11609.0,Summer,Equestrian Jumping,"Individual, Open",38.0,,Sweden,Casall la Silla
11609.0,Summer,Equestrian Jumping,"Team, Open",6.0,,Sweden,Casall la Silla / Sweden
11747.0,Summer,Equestrian Jumping,"Individual, Open",65.0,,Great Britain,Vindicat
11747.0,Summer,Equestrian Jumping,"Team, Open",1.0,Gold,Great Britain,Vindicat / Great Britain
